ＧｉＧＯひたちなか,茨城県ひたちなか市田中後４０−２
ＧｉＧＯ龍ケ崎,茨城県龍ケ崎市藤ケ丘４−２−８
ゲームメガ水戸けやき台店,茨城県水戸市酒門町３２７６−１
ｎａｍｃｏiiasつくば店,茨城県つくば市研究学園5-19　iiasつくば店2F2190
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階
ＳＯＹＵ　ＴＯＹ’Ｓ　ＮＹ　守谷店,茨城県守谷市百合ヶ丘3-249-1　イオンタウン守谷2Ｆ
ＧｉＧＯＭＥＧＡドン・キホーテ勝田,茨城県ひたちなか市石川町１−１ＭＥＧＡドン・キホーテ勝田店２Ｆ
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイム１F
ＧｉＧＯ水戸南,茨城県水戸市千波町２０１７−１
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
タイトーＦステーションヨークタウン坂東店,茨城県坂東市辺田１１０４番地１
ゲームメガつくば店,茨城県つくば市小野崎１７７−２
ＧｉＧＯトナリエクレオつくば,茨城県つくば市吾妻１丁目７−１　トナリエクレオ３Ｆ
アミューズメントパレスワンダーヴュー阿見,茨城県稲敷郡阿見町大字阿見２９５８ショッピングセンター２階
ＧｉＧＯ宇都宮,栃木県宇都宮市東宿郷５−１−７
ＧｉＧＯ小山,栃木県小山市東城南１−１−１８
ＧｉＧＯ西那須野,栃木県那須塩原市南郷屋２−１０６−２７
ＧｉＧＯ日光,栃木県日光市芹沼１４４８−１
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
タイトーステーション 宇都宮ベルモール店,栃木県宇都宮市陽東６−２−１ベルモール内２Ｆ
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１
ドラマ足利店,栃木県足利市朝倉町244-1
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０
アピナ小山店,栃木県小山市駅南町４−２７−１８
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
アピナ宇都宮店,栃木県河内郡上三川町磯岡４２１ー１ジョイフル本田宇都宮店２階
ＧｉＧＯ太田,群馬県太田市西矢島町５７５−１
ＧｉＧＯ沼田,群馬県沼田市下久屋町１１００−１
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
アピナ太田店,群馬県太田市内ケ島町９０７−１
インターワールド伊勢崎店,群馬県伊勢崎市宮子町３４２５−４
ＧｉＧＯ館林,群馬県館林市小桑原町９４９−１
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
ｎａｍｃｏけやきウォーク前橋,群馬県前橋市文京町２−１−１けやきウォーク前橋2F
群馬レジャーランド渋川店,群馬県渋川市八木原1364
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１
ＧｉＧＯＭＥＧＡドン・キホーテ桐生,群馬県桐生市永楽町５−１０ＭＥＧＡドン・キホーテ桐生店３Ｆ
ＧｉＧＯスマーク伊勢崎,群馬県伊勢崎市西小保方町３６８スマーク伊勢崎３Ｆ　３０２区画
タイト—Ｆステーション高崎オ—パ店,群馬県高崎市八島町４６−１　高崎オ—パ７階
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル
タイトーステーション 和光店,埼玉県和光市丸山台１−４−５
ＧｉＧＯ所沢,埼玉県所沢市日吉町８−１
ＧｉＧＯ入間,埼玉県入間市東藤沢２−１８
ＧｉＧＯ川口,埼玉県川口市東領家２−２−１０
ＧｉＧＯ籠原,埼玉県熊谷市美土里町１−１−１６９
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７
ラウンドワンわらび店,埼玉県蕨市北町５−１−６
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４
ウェアハウス越谷店,埼玉県越谷市南荻島８４１−１
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ゲームシティ川口店,埼玉県川口市栄町1-10-5
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
アドアーズ和光,埼玉県和光市本町３−５ワコーステーション３　１−３Ｆ
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階
ＧｉＧＯ花園,埼玉県深谷市荒川３５９
シルクハット川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ
ＳＯＹＵＧａｍｅＦｅｉｌｄ熊谷,埼玉県熊谷市銀座2-245ﾆｯﾄﾓｰﾙ4F
ＧｉＧＯイオンモール与野,埼玉県さいたま市中央区本町西５ー２−９イオンモール与野３Ｆ
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０
ＧｉＧＯイオンモール浦和美園,埼玉県さいたま市緑区美園５−５０−１イオンモール浦和美園２Ｆ
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１
ラウンドワン入間店,埼玉県入間市小谷田３−７−２５
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸２３３８
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３イオンモール羽生２階
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
アピナ川越店,埼玉県川越市泉町１−１　ウニクス南古谷シネマ棟１Ｆ
ソユーゲームフィールド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７
ソユーゲームフィールド川口店,埼玉県川口市並木元町１−７９　アリオ川口３Ｆ
ギガステーション戸田店,埼玉県戸田市大字美女木943-7
ハローズガーデンワカバウォーク店,埼玉県鶴ヶ島市富士見1-2-1ワカバウォーク2F
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟
タイトーＦステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町２‐３　ダイエー店内７Ｆ
プリモピア鴻巣店,埼玉県鴻巣市北新宿２２５−１ウニクス鴻巣１階
テクモピア川越店,埼玉県川越市脇田町４ー２ドンキホーテ川越東口店３Ｆ
ＧｉＧＯ南越谷ラクーン,埼玉県越谷市南越谷１丁目１５番１号南越谷ラクーン２Ｆ
ラウンドワン所沢店,埼玉県所沢市東町５丁目２２　６階
ＧｉＧＯ大宮西口,埼玉県さいたま市大宮区桜木町二丁目３番地２
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
埼玉レジャーランド大宮駅東口店,埼玉県さいたま市大宮区宮町1丁目8 大宮セントラルビルＢ１Ｆ－２Ｆ
ＧｉＧＯビバモール蕨錦町,埼玉県蕨市錦町１丁目１２ー１２階２１８区画
埼玉レジャーランド大宮ラクーン店,埼玉県さいたま市大宮区宮町1-60 RAKUUN５階
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
タイトーステーション 柏店,千葉県柏市柏２−３−１フーサワビル
ＧｉＧＯ柏,千葉県柏市柏１−１−１１丸井デパート内Ｂ１Ｆ
ＧｉＧＯ千葉,千葉県千葉市中央区富士見２−４−１
ＧｉＧＯ旭,千葉県旭市二字野場３１５０−１
ＧｉＧＯイオン新浦安ショッピングセンター,千葉県浦安市入船１−４−１イオン新浦安ＳＣ４Ｆ
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド野田店,千葉県野田市吉春776-1
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
チャリオット五井店,千葉県市原市五井中央西２−１−２
プラサカプコン成田店,千葉県成田市ウイング土屋２４イオン成田ＳＣ２Ｆ
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
アドアーズ千葉,千葉県千葉市中央区富士見２−４−１５第一東和ビル
ＧｉＧＯ幕張,千葉県千葉市美浜区ひび野１−８メッセ・アミューズ・モール１Ｆ
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４
ＧｉＧＯ八柱,千葉県松戸市日暮１−１−１八柱駅第２ビル２Ｆ
プラサカプコン富津店,千葉県富津市青木1-5-1イオンモール富津内ゲームコーナー
柏ガリバー,千葉県柏市柏１−１−１１ファミリかしわ地下
シルクハット津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階
ＧｉＧＯフェスティバルウォーク蘇我,千葉県千葉市中央区川崎町５１−１ハーバーシティ蘇我ＦＷ　１Ｆ
ラッキー佐倉店,千葉県佐倉市井野1475
フリスポ佐原,千葉県香取市佐原イ−４２００
スーパーウェーブ柏,千葉県柏市十余二２４９−５
タイトーステーション 船橋店,千葉県船橋市本町１−６−１
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
ＧｉＧＯ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０−１
ラウンドワン市原店,千葉県市原市八幡北町３−５−１
ラウンドワン習志野店,千葉県習志野市芝園１−４−５
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３
タイトーステーション 旭サンモール店,千葉県旭市イ−２６７６−１　サンモール３Ｆ
ソユーゲームフィールド幕張店,千葉県千葉市花見川区幕張町４−４１７−２５　ＩＹ幕張店２Ｆ
ＧｉＧＯイオンモール銚子,千葉県銚子市三崎町２−２６６０−１イオンモール銚子２Ｆ
プレビ　ららぽーとＴＯＫＹＯーＢＡＹ店,千葉県船橋市浜町２−１−１ららぽーとTOKYOBAY西館３階
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ
ソユーゲームフィールド木更津店,千葉県木更津市築地１−４イオンモール木更津２F
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０
ゲームランド津田沼店,千葉県習志野市津田沼１−２３−１イオンモール津田沼２Ｆ
タイトーＦステーション新松戸店,千葉県松戸市新松戸３−２−２イオンフードスタイル新松戸店４階
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ
アピナ市原店,千葉県市原市更級４丁目２番１号アクロスプラザ市原更級Ｆ棟１階
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ
スタジオプリモ本八幡店,千葉県市川市八幡２−１５−１０パティオ５階
ＧｉＧＯそよら成田ニュータウン,千葉県成田市赤坂２丁目１ー１０５Ｆ５１０区画
ＧｉＧＯ我孫子,千葉県我孫子市柴崎字天王谷４７−１
テクモピア船橋南口店,千葉県船橋市本町１ー７ー６ドリーム船橋ビル３Ｆ
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル
ＧｉＧＯ渋谷宮益坂,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階
ＧｉＧＯ新宿西口,東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ
新宿スポーツランド本館,東京都新宿区新宿3-22-12
ＧｉＧＯ西葛西,東京都江戸川区西葛西５−１−１４第一保志ビル
ＧｉＧＯ船堀,東京都江戸川区船堀１ー６ー１１
ＧｉＧＯ神楽坂,東京都新宿区神楽坂２−１１第２カグラヒルズ１Ｆ
ＧｉＧＯ大森,東京都大田区山王２−１−５大森駅ララビル２Ｆ
ＧｉＧＯ立川,東京都立川市柴崎町３−２−１サザンビル１・２Ｆ
ＧｉＧＯ自由が丘,東京都目黒区自由が丘２ー１０ー９
ＧｉＧＯ福生,東京都福生市福生１０７６−１
ＧｉＧＯ池上,東京都大田区池上６−２−３松山ビル２Ｆ
ｎａｍｃｏ巣鴨店,東京都豊島区巣鴨１−１５−１宮田ビルB2F
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５
アドアーズ町田,東京都町田市原町田６−２１−２５　大正堂第２ビル１〜４Ｆ
アドアーズ仙川,東京都調布市仙川町２−２１−１２　ＶＩＣビル７
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町１−１０−１いなりやビル地下１階
ラウンドワン南砂店,東京都江東区南砂６−７−１５トピレックプラザ４Ｆ
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８
タイトーステーション 渋谷店,東京都渋谷区渋谷１−２４−１２渋谷東映プラザ
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ
タイトーステーション新宿東口店,東京都新宿区新宿３−２２−７　指田ビル
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１
ウェアハウス入谷店,東京都足立区入谷７−８−１１
ウェアハウス保木間店,東京都足立区保木間１−１−１９
アミューズメントスペースカプセル,東京都多摩市永山１−３−４ヒューマックスパビリオン永山B1-2F
東十条ゲームリボン,東京都北区東十条4-4-23
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2
タイトーステーション 町田店,東京都町田市原町田６−２１−２３　松山ビル１階
アドアーズ亀戸店,東京都江東区亀戸５−２−６サンエービル１〜５階
ｎａｍｃｏ中野店,東京都中野区中野５−５２−１５中野ブロードウェイ別館
タイトーステーション 上野アメ横店,東京都台東区上野４−１０−１７
ＧｉＧＯ府中,東京都府中市西原町１−６−２フレスポ府中１Ｆ・２Ｆ
ドラマ八王子高倉店,東京都八王子市高倉町55-4
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
ＧｉＧＯアリオ葛西,東京都江戸川区東葛西９−３−３イトーヨーカドー３Ｆ
ラウンドワン板橋店,東京都板橋区相生町１６−１３
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１サンスクエア２階
ゲームＷ,東京都豊島区南長崎5-27-6
ＧｉＧＯイオンモールむさし村山,東京都武蔵村山市榎１−１−３−２０５９
アピナ八王子みなみ野店,東京都八王子市みなみ野１−２−１アクロスモール３Ｆ
アドアーズ新小岩,東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
ユーズランド日の出店,東京都西多摩郡日の出町大字平井237-3イオンモール日の出３Ｆ
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３−１−１
ＧｉＧＯラパーク瑞江,東京都江戸川区瑞江２−１−２ドン・キホーテラパーク瑞江店４Ｆ
ＧｉＧＯ赤羽,東京都北区赤羽１−７−９赤羽第一葉山ビルＢ１
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル
タイトーステーション錦糸町楽天地店,東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ
SOYU ZAURUS WORLD 大森店　,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
ソユープレイランドソピア八王子店,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ハローズガーデン武蔵小金井店,東京都小金井市本町6-14-9イトーヨーカドー武蔵小金井店4F
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
Amusement&Game MAGHREB,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
ＧｉＧＯ竹の塚,東京都足立区竹の塚６−８−６ピーくんＰｌａｚａ−ｂ
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
タイトーステーション立川北口店,東京都立川市曙町２−４−５クリサス立川２・３Ｆ
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
ＧｉＧＯ町田,東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１
ＧｉＧＯ赤羽駅前,東京都北区赤羽１−２−４
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
ＧｉＧＯ南町田ＧＢＰシアター,東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画
