店名,場所
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１ー７
キャッツアイ篠路店,北海道札幌市北区篠路１条４丁目６ー３０
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢５条２丁目１１−１５
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
ＧｉＧＯ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
スーパーノバ福島,福島県福島市黒岩字中島7-2
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
ラウンドワン福島店,福島県福島市太田町14-18
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ
ピンクパンサー下妻店,茨城県下妻市小島884-10
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
ゲームメガみらい平店,茨城県つくばみらい市陽光台1-14-1
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
ゲームメガつくば店,茨城県つくば市小野崎１７７−２
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
ドラマ足利店,栃木県足利市朝倉町244-1
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１
ゲームシティボストン,群馬県前橋市大友町3-7-3
マトリクス前橋,群馬県前橋市小相木町５５８−１
アピナ太田店,群馬県太田市内ケ島町９０７−１
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル
群馬レジャーランド渋川店,群馬県渋川市八木原1364
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ビデオゲームミュージアムロボット深谷店,埼玉県深谷市上柴町西４−１２−１
シルクハット　川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ
アミューズメント　ＦＵＮＦＵＮ越谷店,埼玉県越谷市南荻島２７７０−１
ＧｉＧＯ所沢,埼玉県所沢市日吉町８−１
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
ギガステーション戸田店,埼玉県戸田市大字美女木北1-1-12
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７
イスカンダル木更津店,千葉県木更津市潮見４−１−２
タイトーFステーション柏中央,千葉県柏市十余二２４９−５
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ
シルクハット　津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階
タイトーステーション 柏店,千葉県柏市柏２−３−１フーサワビル
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
ラッキー佐倉店,千葉県佐倉市井野1475
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
ＧｉＧＯ千葉,千葉県千葉市中央区富士見２−４−１
アミューズメントエース市川,千葉県市川市市川１−９−１１サン市川ハイツ１階
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル
